x,y
-1.224,53.157
-1.388,53.052
-1.185,53.161
-1.478,53.086
-1.198,53.166
-1.365,53.079
-1.181,53.172
-1.153,53.202
-1.146,53.214
-1.480,53.022
-1.455,53.021
-1.222,53.142
-1.181,53.145
-1.195,52.620
-1.177,52.609
-1.214,52.623
-1.230,52.627
-1.195,52.585
-1.212,52.574
-1.369,52.716
-0.917,52.250
-0.897,52.225
-1.345,53.007
-1.106,53.298
0.021,52.743
-0.524,53.235
-0.608,52.292
-1.210,52.851
-1.196,53.041
-0.006,52.980
-2.176,52.208
-2.214,52.207
-2.227,52.217
-2.187,52.210
-1.951,52.282
0.515,52.032
0.678,52.005
0.413,51.565
0.491,51.562
0.483,51.565
0.459,51.564
0.445,51.570
0.510,51.569
0.591,51.977
0.634,51.941
0.085,52.559
-0.128,52.558
0.165,52.661
0.111,52.635
0.129,52.685
0.169,52.674
0.268,52.229
0.097,52.550
-0.088,52.556
0.310,51.491
0.930,51.898
-0.231,51.973
-0.209,51.970
-0.118,51.711
-0.218,51.982
-0.186,51.721
-0.243,51.981
-0.219,51.736
-0.185,51.987
-0.232,51.749
-0.165,51.943
-0.233,51.761
-0.018,52.049
-0.218,51.765
-0.228,51.992
-0.275,51.956
-0.254,51.955
-0.270,52.552
-0.110,52.246
-0.069,52.217
-0.276,52.535
0.371,51.486
0.326,51.495
0.342,51.494
0.285,51.506
0.252,51.501
0.426,51.517
0.292,51.517
0.417,51.484
0.339,51.483
-0.288,52.545
-0.308,52.553
-0.216,52.553
-0.257,52.568
-0.242,52.560
-0.241,52.580
-0.281,52.576
-0.439,51.921
1.517,52.295
-0.467,51.918
0.446,52.081
0.417,52.086
0.431,52.088
0.495,52.107
0.591,52.111
0.718,52.235
-2.276,53.454
-2.379,53.453
-2.351,53.457
-2.300,53.455
-2.366,53.446
-2.305,53.448
-3.028,53.764
-2.735,53.750
-3.003,53.756
-2.176,53.659
-2.883,53.785
-2.307,53.676
-2.853,53.773
-2.331,53.690
-2.602,53.618
-2.953,53.822
-2.643,53.642
-2.286,53.701
-2.661,53.623
-2.195,53.703
-3.028,53.754
-2.733,53.741
-2.880,53.751
-2.622,53.740
-3.090,53.325
-2.983,53.316
-3.004,53.335
-2.983,53.330
-2.996,53.349
-3.101,53.335
-3.094,53.351
-3.018,53.350
-2.969,53.312
-3.036,53.483
-2.972,53.484
-2.926,53.484
-2.953,53.486
-2.996,53.487
-3.017,53.488
-3.037,53.492
-2.976,53.491
-3.026,53.479
-2.998,53.477
-2.342,53.489
-2.314,53.488
-2.308,53.497
-2.367,53.491
-2.259,53.503
-2.281,53.497
-2.362,53.504
-2.258,53.487
-2.297,53.487
-2.619,53.653
-2.646,53.661
-2.772,53.665
-2.625,53.662
-2.674,53.666
-2.636,53.685
-2.655,53.699
-2.574,53.697
-2.722,53.644
-2.629,53.645
-2.933,53.281
-2.945,53.277
-3.058,53.283
-2.902,53.283
-3.005,53.291
-2.932,53.288
-2.593,53.033
-3.065,53.295
-2.917,53.275
-2.890,53.272
-2.266,53.373
-2.418,53.544
-2.250,53.378
-2.372,53.541
-2.283,53.383
-2.526,53.547
-2.266,53.386
-2.397,53.546
-2.257,53.391
-2.420,53.552
-2.282,53.397
-2.472,53.552
-2.304,53.403
-2.401,53.555
-2.258,53.406
-2.511,53.554
-2.526,53.537
-2.091,53.583
-2.321,53.645
-2.107,53.584
-2.560,53.473
-2.878,53.493
-2.599,53.477
-2.577,53.476
-2.644,53.489
-2.522,53.488
-2.499,53.491
-2.626,53.490
-2.894,53.494
-2.881,53.479
-2.298,53.415
-2.360,53.410
-2.345,53.419
-2.431,53.417
-2.305,53.421
-2.320,53.421
-2.327,53.429
-2.350,53.428
-2.342,53.408
-2.328,53.406
-2.390,53.755
-2.377,53.749
-2.752,53.727
-2.417,53.768
-2.685,53.727
-2.360,53.758
-2.656,53.731
-2.406,53.786
-2.667,53.730
-2.381,53.775
-2.717,53.735
-2.998,53.744
-2.708,53.739
-2.954,53.740
-2.672,53.741
-2.399,53.744
-2.693,53.698
-2.354,53.743
-2.694,53.710
-2.714,53.374
-2.771,53.374
-2.725,53.386
-2.751,53.381
-2.734,53.372
-2.761,53.368
-2.770,53.420
-2.718,53.419
-2.753,53.433
-2.715,53.430
-2.692,53.446
-2.779,53.435
-2.624,53.450
-2.760,53.450
-2.761,53.411
-2.955,53.673
-2.889,53.208
-2.875,53.212
-2.951,53.226
-2.816,53.258
-2.930,53.202
-2.922,53.209
-2.156,53.607
-2.150,53.595
-2.117,53.611
-2.103,53.609
-2.197,53.611
-2.139,53.609
-2.179,53.622
-2.164,53.618
-2.961,55.009
-3.246,54.102
-2.180,53.593
-3.257,54.112
-2.548,53.602
-2.225,53.591
-3.223,54.113
-2.428,53.609
-3.209,54.113
-2.408,53.611
-3.192,54.117
-2.434,53.622
-3.221,54.123
-3.230,54.126
-2.947,54.913
-2.732,54.944
-2.388,53.599
-2.435,53.601
-2.214,53.345
-2.223,53.336
-2.130,53.349
-2.112,53.346
-2.919,53.261
-2.036,53.358
-2.927,53.270
-2.902,53.266
-2.236,53.326
-2.343,53.317
-2.242,53.696
-2.250,53.779
-2.841,53.424
-2.830,53.419
-2.860,53.423
-2.789,53.424
-2.861,53.434
-2.803,53.426
-2.903,53.478
-2.874,53.471
-2.856,53.416
-2.795,53.413
-2.075,53.472
-2.118,53.469
-2.067,53.476
-2.090,53.476
-2.134,53.478
-2.046,53.478
-2.164,53.484
-2.107,53.484
-2.075,53.461
-2.111,53.459
-2.988,53.635
-3.019,53.633
-2.981,53.644
-3.003,53.639
-2.999,53.651
-2.968,53.648
-2.965,53.665
-2.979,53.658
-3.014,53.619
-3.032,53.602
-3.003,53.801
-3.038,53.801
-3.024,53.807
-3.051,53.801
-3.045,53.816
-3.039,53.811
-3.043,53.825
-3.028,53.823
-3.026,53.798
-3.049,53.788
-2.192,53.539
-2.426,53.535
-2.180,53.550
-2.205,53.549
-2.196,53.560
-2.214,53.558
-2.242,53.592
-2.212,53.586
-2.900,54.881
-2.929,54.883
-2.412,53.531
-2.966,54.887
-2.523,53.587
-2.395,53.528
-2.952,54.889
-2.390,53.587
-2.816,54.897
-2.473,53.590
-2.924,54.893
-2.439,53.592
-2.984,54.893
-2.412,53.593
-2.923,54.909
-2.579,53.591
-2.453,53.593
-2.540,53.594
-2.933,54.866
-2.927,54.875
-2.434,53.583
-2.451,53.583
-2.212,53.458
-2.176,53.457
-2.194,53.462
-2.162,53.464
-2.223,53.467
-2.244,53.465
-2.167,53.470
-2.436,53.108
-2.453,53.106
-2.245,53.455
-2.321,53.096
-2.231,53.453
-2.457,53.117
-2.286,53.113
-2.299,53.097
-2.390,53.142
-2.359,53.141
-2.467,53.105
-2.423,53.099
-2.905,53.391
-2.645,53.524
-2.862,53.393
-2.669,53.522
-2.950,53.394
-2.708,53.532
-2.931,53.394
-2.547,53.525
-2.968,53.397
-2.566,53.532
-2.886,53.400
-2.492,53.531
-2.934,53.400
-2.671,53.535
-2.898,53.403
-2.649,53.534
-2.951,53.388
-2.482,53.523
-2.919,53.389
-2.504,53.521
-2.678,53.766
-2.697,53.766
-2.717,53.770
-2.753,53.768
-2.758,53.777
-2.700,53.770
-2.732,53.775
-2.659,53.774
-2.074,53.448
-2.104,53.443
-2.103,53.452
-2.028,53.450
-2.147,53.453
-2.121,53.454
-2.060,53.456
-2.676,53.761
-2.001,53.459
-2.704,53.756
-2.075,53.439
-2.265,53.461
-2.786,53.504
-3.026,53.382
-2.710,53.495
-3.049,53.385
-2.872,53.348
-3.081,53.385
-2.835,53.343
-3.099,53.389
-2.917,53.362
-3.118,53.391
-2.900,53.356
-3.030,53.392
-2.894,53.365
-3.058,53.396
-2.859,53.362
-3.176,53.395
-2.671,53.492
-3.120,53.377
-2.727,53.473
-3.036,53.379
-3.024,53.788
-3.039,53.783
-2.216,53.811
-2.233,53.807
-2.108,53.524
-2.127,53.519
-2.142,53.528
-2.156,53.527
-2.081,53.530
-2.240,53.801
-2.114,53.531
-2.310,53.798
-2.144,53.515
-2.163,53.509
-2.217,53.443
-2.270,53.440
-2.243,53.446
-2.188,53.444
-2.261,53.451
-2.279,53.446
-2.215,53.452
-2.191,53.451
-2.514,53.070
-2.502,53.061
-2.198,53.437
-3.090,54.194
-2.442,53.084
-2.237,53.437
-2.932,54.185
-2.464,53.079
-2.735,54.259
-2.445,53.091
-2.782,54.213
-2.470,53.090
-3.135,54.258
-2.452,53.096
-2.531,54.300
-2.396,53.099
-2.741,54.314
-2.940,54.266
-2.454,53.063
-2.525,53.064
-3.102,54.179
-3.039,53.883
-2.865,53.870
-2.764,53.896
-2.779,53.902
-2.969,53.918
-3.030,53.908
-3.033,53.920
-2.114,53.371
-2.323,53.704
-2.163,53.354
-2.040,53.518
-2.699,53.453
-3.000,53.362
-2.748,53.453
-3.050,53.369
-2.776,53.458
-3.023,53.369
-2.638,53.459
-3.161,53.370
-2.756,53.463
-3.014,53.373
-2.708,53.464
-3.180,53.373
-2.655,53.470
-3.086,53.375
-2.678,53.467
-3.063,53.375
-2.645,53.453
-3.114,53.354
-2.722,53.453
-3.020,53.361
-2.507,53.729
-2.488,53.723
-2.528,53.728
-2.470,53.731
-2.449,53.746
-2.497,53.736
-2.483,53.750
-2.466,53.744
-2.481,53.706
-2.459,53.698
-3.101,54.821
-3.325,54.766
-3.173,54.827
-3.484,54.713
-3.491,54.705
-2.163,53.632
-2.195,53.629
-2.109,53.634
-2.134,53.634
-2.098,53.647
-2.120,53.646
-2.143,53.506
-2.160,53.501
-2.204,53.624
-2.145,53.622
-2.213,53.527
-2.127,53.532
-2.186,53.524
-2.263,53.522
-2.228,53.534
-2.282,53.528
-2.289,53.522
-2.274,53.542
-2.272,53.532
-2.862,53.182
-2.547,53.194
-2.893,53.180
-2.505,53.198
-2.242,53.522
-2.865,53.193
-2.514,53.224
-2.170,53.517
-2.831,53.184
-2.598,53.234
-2.882,53.197
-2.530,53.244
-2.899,53.196
-2.495,53.253
-2.734,53.205
-2.526,53.254
-2.860,53.201
-2.573,53.260
-2.918,53.173
-2.541,53.185
-2.772,53.131
-2.533,53.193
-2.998,53.839
-2.998,53.868
-2.990,53.849
-3.529,54.630
-2.891,53.573
-2.749,54.666
-2.404,53.739
-3.096,53.417
-2.832,53.359
-2.236,53.501
-2.138,53.239
-2.332,53.449
-2.322,53.503
-2.792,53.717
-1.001,53.574
-1.193,53.566
-1.018,53.578
-1.067,53.566
-1.026,53.598
-1.191,53.587
-1.159,53.616
-0.959,53.611
-1.146,53.553
-1.067,53.552
-1.429,53.708
-1.240,53.706
-1.476,53.712
-1.505,53.710
-1.337,53.717
-1.490,53.714
-1.320,53.721
-1.367,53.718
-1.266,53.707
-1.296,53.702
-2.008,53.961
-2.019,53.956
-2.280,54.066
-1.995,53.977
-2.494,54.129
-2.016,54.070
-2.052,53.920
-1.993,53.900
-1.497,53.372
-1.391,53.371
-1.402,53.380
-1.528,53.379
-1.499,53.382
-1.521,53.371
-1.424,53.370
-1.530,53.782
-1.546,53.798
-0.787,54.132
-0.999,53.746
-1.236,53.750
-1.084,53.779
-1.091,53.768
-1.251,53.793
-1.067,53.783
-1.188,53.840
-1.050,53.830
-1.153,53.703
-1.648,53.834
-1.629,53.837
-1.547,53.839
-1.531,53.841
-1.518,53.841
-1.642,53.844
-1.444,53.840
-1.458,53.835
-1.391,53.830
-1.782,53.694
-1.800,53.689
-1.863,53.705
-1.787,53.710
-1.933,53.706
-1.907,53.712
-1.847,53.710
-1.839,53.683
-1.869,53.684
-1.099,53.529
-1.117,53.526
-1.171,53.535
-1.049,53.532
-1.057,53.538
-1.103,53.538
-1.164,53.545
-1.149,53.539
-1.264,53.520
-1.170,53.521
-1.514,53.687
-1.480,53.687
-1.494,53.688
-1.297,53.687
-1.313,53.692
-1.419,53.693
-1.406,53.700
-1.525,53.701
-1.583,53.688
-1.527,53.685
-0.638,53.559
-0.661,53.553
-0.677,53.567
-0.657,53.563
-0.654,53.571
-0.633,53.568
-0.669,53.576
-0.550,53.570
-0.826,53.532
-1.510,54.278
-0.648,53.530
-1.343,54.235
-1.453,54.329
-1.591,54.287
-1.405,54.389
-1.429,54.339
-1.211,54.465
-1.339,54.221
-1.184,54.119
-1.501,53.363
-1.513,53.362
-1.361,53.362
-1.405,53.363
-1.472,53.368
-1.452,53.364
-1.481,53.369
-1.552,53.369
